    86 14016 14125   1608.66   1612.17  83973.60  84627.60     38.70
    87 14417 14458   1621.62   1622.95  86379.60  86625.60      7.91
    88 14523 14627   1625.07   1628.45  87015.60  87639.60     11.15
    89 14707 14840   1631.06   1635.41  88119.60  88917.60     13.14
    90 14870 14901   1636.39   1637.41  89097.60  89283.60      6.33
    91 15003 15029   1640.75   1641.61  89895.60  90051.60      4.76
    92 15077 15131   1643.18   1644.96  90339.60  90663.60      9.98
    93 15156 15346   1645.78   1652.05  90813.60  91953.60    127.05
    94 15427 15450   1654.73   1655.50  92439.60  92577.60      4.56
    95 15698 15716   1663.73   1664.33  94065.60  94173.60      4.75
    96 15751 15800   1665.50   1667.13  94383.60  94677.60     26.47
    97 15866 15905   1669.34   1670.64  95073.60  95307.60     11.69
    98 15980 16020   1673.15   1674.49  95757.60  95997.60      7.59
    99 16085 16105   1676.67   1677.34  96387.60  96507.60      5.04
   100 16286 16388   1683.43   1686.87  97593.60  98205.60     54.53
   101 16419 16445   1687.92   1688.79  98391.60  98547.60      5.03
   102 16556 16586   1692.55   1693.57  99213.60  99393.60      5.75
   103 16663 16713   1696.18   1697.88  99855.60 100155.60     13.13
   104 16916 16983   1704.79   1707.08 101373.60 101775.60     42.82
   105 17006 17144   1707.86   1712.59 101913.60 102741.60    170.12
   106 17211 17275   1714.88   1717.08 103143.60 103527.60     21.02
   107 17361 17415   1720.04   1721.90 104043.60 104367.60     61.01
   108 17445 17465   1722.93   1723.62 104547.60 104667.60      4.65
   109 17484 17519   1724.28   1725.49 104781.60 104991.60      6.46
   110 17528 17589   1725.80   1727.91 105045.60 105411.60     77.91
   111 17605 17684   1728.46   1731.20 105507.60 105981.60     49.78
   112 17782 17816   1734.59   1735.77 106569.60 106773.60      7.52
   113 17840 17938   1736.61   1740.02 106917.60 107505.60     14.03
   114 18233 18263   1750.32   1751.37 109275.60 109455.60      6.57
   115 18397 18432   1756.08   1757.31 110259.60 110469.60      7.58
   116 18476 18638   1758.85   1764.57 110733.60 111705.60     97.54
   117 18837 18890   1771.61   1773.49 112899.60 113217.60     44.56
   118 18911 18954   1774.23   1775.76 113343.60 113601.60     14.70
   119 19064 19097   1779.68   1780.85 114261.60 114459.60      8.45
   120 19176 19247   1783.67   1786.21 114933.60 115359.60     38.88
   121 19267 19418   1786.92   1792.33 115479.60 116385.60     66.02
   122 19440 19479   1793.12   1794.52 116517.60 116751.60      8.57
   123 19506 19604   1795.49   1799.01 116913.60 117501.60     31.22
   124 19682 19733   1801.82   1803.66 117969.60 118275.60     37.30
   125 19748 19793   1804.21   1805.83 118365.60 118635.60     14.92
   126 19950 20054   1811.51   1815.29 119577.60 120201.60     91.00
   127 20262 20319   1822.86   1824.94 121449.60 121791.60     49.18
   128 20358 20378   1826.37   1827.10 122025.60 122145.60      4.65
   129 20427 20494   1828.89   1831.35 122439.60 122841.60     12.75
   130 20577 20784   1834.39   1842.01 123339.60 124581.60     96.59
